Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Serie de Grabados Colección Cartón de Colombia 76	Julio Le Parc, Antonio Seguí, Julio Silva (Argentina), Mariana Varela, Augusto Rendón, Juan Manuel Lugo, Óscar Muñoz, Mario Gordillo, Susy Iglicki (Colombia), Joaquín Ferrer (Cuba), María Girona, Francesc Artigau (España), Rodolfo Abularach (Guatemala), Hervé Telemaque (Haití), Emilio Scanavino, Tino Stefanoni (Italia), José Bartoli, Alberto Gironella, Antonio Peláez, Antonio Rodríguez, Juan Soriano, Marilyn Tamkin (México), Manuel García, Lope Max (Puerto Rico), Asdrúbal Domínguez, Rosa Tavares (República Dominicana), José Gamarra, Bolívar Gaudín (Uruguay), Oswaldo Subero, Édgar Sánchez, Ana María Mazzei, Víctor Varela, Francisco Bellorin,Marieta Berman (Venezuela)   	Julio Le Parc, Antonio Seguí, Julio Silva , Maríana Varela, Augusto Rendón, Juan Manuel Lugo, Óscar Muñoz, Mario Gordillo, Susy Iglicki , Joaquín Ferrer , María Girona, Francesc Artigau , Rodolfo Abularach , Hervé Telemaque , Emilio Scanavino, Tino Stefanoni , José Bartoli, Alberto Gironella, Antonio Peláez, Antonio Rodríguez, Juan Soriano, Marilyn Tamkin , Manuel García, Lope Max , Asdrúbal Domínguez, Rosa Tavárez, José Gamarra, Bolívar Gaudín, Oswaldo Subero, Édgar Sánchez, Ana María Mazzei, Víctor Varela, Francisco Bellorin,Marietta Berman   	Varias	1977	1	Enero 				Colectiva		Arte Gráfico		NA															
20 Artistas Jóvenes Suizos	John Michael Armleder, Anton Bruhin, Luciano Castelli, Bignia Corradini,Martin Disler, Markus Dulk, Marianne Eigenheer,, Helmunt Federle,Pierre Keller, Heiner Kielholz,Lis Kocher, Urs Luthi, Chasper Otto Melcher, Markus Raetz, Claude Sandoz, Alex Silber, Urs Stoss, Hanna Villiger, Rolf Winnewiser, Rene Zach	John Michael Armleder, Anton Bruhin, Luciano Castelli, Bignia Corradini,Martin Disler, Markus Dulk, Maríanne Eigenheer,, Helmunt Federle,Pierre Keller, Heiner Kielholz,Lis Kocher, Urs Luthi, Chasper Otto Melcher, Markus Raetz, Claude Sandoz, Alex Silber, Urs Stoss, Hanna Villiger, Rolf Winnewiser, Rene Zach	Suiza	1977	2	4-feb.				Colectiva		Pintura, Dibujo,Grabado		Pierre Keller		Embajada de Suiza	Gloria Zea, PierreKeller y Galaor Carbonell			0023c									
Exposición de Barbara Hepworth	Barbara Hepworth	Barbara Hepworth	Británica	1977	3	Marzo 				Retrospectiva-individual		Dibujo,Escultura 		NA		Consejo Británico	Douglas Hall			0024c y 0018f									
Seis Artistas Premiados en la 3a Bienal de Artes Gráficas	Édgar Álvarez, David Becker, Juan Fresan, Susy Iglicki, Lucy Tejada,Mario Toral	Édgar Álvarez, David Becker, Juan Fresan, Susy Iglicki, Lucy Tejada,Mario Toral	Varias	1977	4	Abril				Colectiva		Arte Gráfico		NA			Maritza Uribe de Urdinola, Miguel González, Franz Bader, Bengt Oldenburg, Marta Traba y Pablo Neruda			0015p									
II Salón Nacional de Arte Jóven 	Virginia Amaya, Roberto Angulo, Arbey Arce, Gloria Estela Arriaga, Esperanza Barroso, Gert-Jan Bartelsman, María Elena Bernal, Celia Birbragher, Javier de María Campos, Plinio Carvajal, Guillermo Cuartas, María Eugenia Duque, Beatriz Echeverry, Gustavo Espinosa, Fanny Finkelman, Máximo Flórez, Ethel Gilmour, Juan Ramón Giraldo, María Cristina Gómez, Margarita Gutiérrez, Eduardo Hernández, Gustavo Jaramillo, Joyce Lamassone, Karen Lamassone, Camilo Lleras, Oswaldo López, Jorge Mantilla Caballero, Fernando Martínez, Margarita Monsalve, Jorge Montealegre, Jorge Morán, Juan Fernando Ordóñez, Roberto Pizano, Julián Eduardo Posada, Ricardo Potes Vargas, Luis Fernando Puerta, Luis Alfonso Ramírez, Amparo Restrepo, Ángela María Restrepo, Guillermo Restrepo, Édgar Riveral, Jorge Rocha, Iván Darío Roldán, Hernando Rojas, Rodolfo Ruiz, Alberto Saldarriaga, Enrique Sánchez, María Cristina Silva, Gabriel Suárez Bayona, José Antonio Suárez, Sergio Trujillo, Alberto Uribe, Hernán Uribe, Luis Fernando Valencia, Rodrigo Valencia Quijano, Alicia Viteri, Gustavo Zalamea,Hugo Zapata	Virginia Amaya, Roberto Angulo, Arbey Arce, Gloria Estela Arriaga, Esperanza Barroso, Gert-Jan Bartelsman, María Elena Bernal, Celia Birbragher, Javier de María Campos, Plinio Carvajal, Guillermo Cuartas, María Eugenia Duque, Beatriz Echeverry, Gustavo Espinosa, Fanny Finkelman, Máximo Flórez, Ethel Gilmour, Juan Ramón Giraldo, María Cristina Gómez, Margarita Gutiérrez, Eduardo Hernández, Gustavo Jaramillo, Joyce Lamassone, Karen Lamassonne, Camilo Lleras, Oswaldo López, Jorge Mantilla Caballero, Fernando Martínez, Margarita Monsalve, Jorge Montealegre, Jorge Morán, Juan Fernando Ordóñez, Roberto Pizano, Julián Eduardo Posada, Ricardo Potes Vargas, Luis Fernando Puerta, Luis Alfonso Ramírez, Amparo Restrepo, Ángela María Restrepo, Guillermo Restrepo, Édgar Riveral, Jorge Rocha, Iván Darío Roldán, Hernándo Rojas, Rodolfo Ruiz, Alberto Saldarriaga, Enrique Sánchez, María Cristina Silva, Gabriel Suárez Bayona, José Antonio Suárez Londoño, Sergio Trujillo, Alberto Uribe, Hernán Uribe, Luis Fernando Valencia, Rodrigo Valencia Quijano, Alicia Viteri, Gustavo Zalamea,Hugo Zapata	Colombiana	1977	7	1-jul.				Colectiva		Pintura, Escultura, Dibujo, Grabado, Fotografía, Objetos,Tejido		NA						0025c y 0001v									
Colección Banco Cafetero	Gonzalo Ariza, Fernndo Botero, Luis Cabllero, Julio Castillo, Manuel Estrada, Ignacio Gómez Jaramillo, Pedro Nel Gómez, Carlos Granada, Enrique Grau, José Manuel Groot, Alipio Jaramillo, Hernando Lemaitre, Margarita Lozano Ortiz, David Manzur, Pedro Moreno, Maria Thereza Negreiros, Alejandro Obregón, Rafael Penagos, Cecilia Porras, Eduardo Ramírez Villamizar, Ómar Rayo, Augusto Rivera, Juan Antonio Roda, Lucy Tejada, Jorge Elías Triana, Gregorio Vásquez de Arce,Ceballos, Armando Villegas,Guillermo Wiedemann	Gonzalo Ariza, Fernando Botero, Luis Caballero, Julio Castillo, Manuel Estrada, Ignacio Gómez Jaramillo, Pedro Nel Gómez, Carlos Granada, Enrique Grau, José Manuel Groot, Alipio Jaramillo, Hernándo Lemaitre, Margarita Lozano Ortiz, David Manzur, Pedro Moreno, María Thereza Negreiros, Alejandro Obregón, Rafael Penagos, Cecilia Porras, Eduardo Ramírez Villamizar, Ómar Rayo, Augusto Rivera, Juan Antonio Roda, Lucy Tejada, Jorge Elías Triana, Gregorio Vásquez de Arce,Ceballos, Armando Villegas,Guillermo Wiedemann	Colombiana	1977	8	Agosto				Colectiva		Pintura		NA		Banco Cafetero				0026c									
Exposición de grabado yugo-eslavo	Varios	Varios	Varias	1977	10	7-oct.				Colectiva		Grabado		NA		Colcultura,Embajada de Yugoslavia													
Segundo Portafolio 8 Artistas Latinoamericanos	Susy Iglicki (Venezuela), Luis Molinari-Flórez (Ecuador), Emilio Sánchez (Cuba), Iazid Thame (Brasil), Gabriel Messil (Argentina), Pablo Obelar (Uruguay), Fernando de Szyszlo (Perú),Eduardo Vilches (Chile)	Susy Iglicki, Luis Molinari-Flores, Emilio Sánchez, lazid Thame, Gabriel Messil, Pablo Obelar, Fernando de Szyszlo, Eduardo Vilches 	Varias	1977	12	Diciembre				Colectiva		NA		NA			Maritza Uribe de Urdinola	d32.txt		0027c	d32.pdf							Sin título, Sin título, Hombre de la cabeza de plata, Sin título, Eclipse, La casita de Gloria, Dos Espacios, Sin título	2844, 2847, 2846, 2845, 2840, 2841, 2843, 2842
Muestra de escultura colombiana de la Colección de Museo de Arte Moderno La Tertulia 1977	Édgar Negret, Eduardo Ramírez Villamizar, Carlos Rojas, Hernando Tejada, Feliza Bursztyn, Bernardo Salcedo, Héctor Fabio Oviedo,John Castles	Édgar Negret, Eduardo Ramírez Villamizar, Carlos Rojas, Hernándo Tejada, Feliza Bursztyn, Bernardo Salcedo, Héctor Fabio Oviedo,John Castles	Colombiana	1977	11	Noviembre			45 días	Colectiva		Escultura		NA			Maritza Uribe de Urdinola, Amílcar Osorio, Eduardo Serrano, Juan Acha, Miguel González, Germán Rubiano Caballero, Damián Bayón y Antonio Montaña 			0028c									
Exposición Doble	Luis Camnitzer (Uruguay),Liliana Porter (Argentina)	Luis Camnitzer ,Liliana Porter 	Varias	1978	1	27-ene.				Colectiva		NA		NA						0016p y 0017p									
Exposición de Gabriel Messil	Gabriel Messil	Gabriel Messil	Argentina	1978	2	17-feb.			30 días	Individual		NA		NA						0018p									
Pintura y Escultura Colombiana de los Años 30	Ricardo Gómez Campuzano, José Domingo Rodríguez, Rómulo Rozo, Luis Alberto Acuña, Ignacio Gómez Jaramillo, Sergio Trujillo Magnenat, Carlos Correa, Gonzalo Ariza, Alipio Jaramillo, Ramón Barba,Rosa de Viterbo	Ricardo Gómez Campuzano, José Domingo Rodríguez, Rómulo Rozo, Luis Alberto Acuña, Ignacio Gómez Jaramillo, Sergio Trujillo Magnenat, Carlos Correa, Gonzalo Ariza, Alipio Jaramillo, Ramón Barba,Rosa de Viterbo	Colombiana	1978	3	10-mar.			65 días	Retrospectiva-colectiva		Pintura,Escultura		Germán Rubiano Caballero		Carvajal S.A.,coleccionistas privados	Maritza Uribe de Urdinola y Germán Rubiano Caballero			0029c									
Grabadores Norte-americanos	Robert Kipniss, Will Barnet, Warrington Colescott,Kenjilao Nanao	Robert Kipniss, Will Barnet, Warrington Colescott,Kenjilao Nanao	Estadounidense	1978	5	Mayo				Colectiva		Grabado		Sylvan Cole 						0019f									
Brecht en las Artes Gráficas de la República Democrática Alemana	Varios	Varios	Alemana	1978	7	14-jul.				Colectiva		Arte Gráfico		NA		Embajada de la República Democrática Alemana													
El Grabado Norte-americano en la Colección del Museo de Arte Moderno La Tertulia	Leonard Baskin, David Becker, Jim Dine, John MCLaughlin, Peter Milton,Louise Nevelson	Leonard Baskin, David Becker, Jim Dine, John McLaughlin, Peter Milton,Louise Nevelson	Estadounidense	1978	10	Octubre				Colectiva		Grabado		NA			Maritza Uribe de Urdinola y Pat Gilmour			0020f									
Exposición de Antonio Barrera 1878	Antonio Barrera	Antonio Barrera	Colombiana	1978	9	Septiembre			45 días	Individual		Pintura		NA			Eduardo Serrano, Germán Rubiano Caballero, Galaor Carbonell y Álvaro Medina			0019p									
Fotografía Colombiana	Fernell Franco, Germán Tellez, Hernán Díaz, Rafael Moure, Abdu Eljaiek, Sergio Trujillo Dávila, Camilo Lleras, Jaime Ardila, Carlos Caicedo, Nereo López, Efraín García, Fabio Serrano, Ramón Giovanni, Jorge Mario Múnera, Ignacio Gómez Jaramillo, Luis Fernando Valencia, Sergio Trujillo Jaramillo, Efraín Cardenas, Francois Dolmetsch, Gert-Jan Bartelsman,Patricia Uribe	Fernell Franco, Germán Tellez, Hernán Díaz, Rafael Moure, Abdu Eljaiek, Sergio Trujillo Dávila, Camilo Lleras, Jaime Ardila, Carlos Caicedo, Nereo López, Efraín García, Fabio Serrano, Ramón Giovanni, Jorge Mario Múnera, Ignacio Gómez Jaramillo, Luis Fernando Valencia, Sergio Trujillo Jaramillo, Efraín Cardenas, Francois Dolmetsch, Gert-Jan Bartelsman,Patricia Uribe	Colombiana	1978	12	15-dic.				Colectiva		Fotografía		NA		Industria de Licores del Valle	Darío Ruiz Gómez			0030c									
Exposición de Richard Smith	Richard Smith	Richard Smith	Británica	1979	2	16-feb.				Individual		Pintura,Ensamblaje		NA			Eduardo Serrano			0021f									
Exposición de Alejandro Obregon 1979	Alejandro Obregón 	Alejandro Obregón 	Española-colombiana	1979	4	6-abr.				Individual		Pintura 		NA		Byron López	Maritza Uribe de Urdinola			0020p									
Exposición conmemorativa de los 23 años de vida del Museo de Arte Moderno La Tertulia	Varios	Varios	Varias	1979	5	31-may.			75 días	Colectiva		Varias		NA															
Exposición de Helen Frankenthaler	Helen Frankenthaler	Helen Frankenthaler	Estadounidense	1979	7	10-jul.				Individual		Pintura	Óleo y acrílico	NA		Centro Colombo-americano de Cali,Agencia de Comunicación Internacional de los Estados Unidos	Richard A. Boardman y Andrew Forge			0031c									
La Triple Exposición	Ever Astudillo, Fernell Franco,Óscar Muñoz	Ever Astudillo, Fernell Franco,Óscar Muñoz	Colombiana	1979	9	14-sept.				Colectiva		Dibujo,Fotografía		NA			Sebastian Romero, Eduardo Serrano, Miguel González y Álvaro Medina			0032c									
Baila Mecánica	Feliza Burztyn	Feliza Bursztyn	Colombiana	1979	11	23-nov.			35 días	Individual		Escultura		NA			Marta Traba			0022f									
Exposición de Robert Kipniss 1980	Robert Kipniss	Robert Kipniss	Estadounidense	1980	1	Enero				Individual		Pintura,Grabado		NA			Karl Lunde			0033c									
Las Mujeres en las Artes Visuales en la Colección del Museo La Tertulia	Olga Amaral, Myrna Báez, Corina Briceño, Marieta Berman, Gracia Barrios, Edith Behring, Ruth Bessoudo Courvoisier, Roser Bru, Feliza Bursztyn,Teresa Cuellar, Delia Cugat, Beatriz Daza, Geny Dignac, Helen Escobedo, Raquel Forner, Vera Frenkel, Gego, Anna Bella Geiger, Beatriz González, Leonilda González, Susan Hudson, Susy Iglicki, María de la Paz Jaramillo, Ana María Mezzei, Gladys Meneses, Anne Meredith Barry, Margarita Monsalve, Maria Thereza Negreiros, Louis Nevelson, Luisa Palacios, Gina Pellon, Liliana Porter, Anna Letycia Quadros, Louiser Richterm, Emma Reyes, Margot Romero, Nunik  Sauret, Lucy Tejada,Mariana Varela	Olga Amaral, Myrna Báez, Corina Briceño, Marietta Berman, Gracia Barrios, Edith Behring, Ruth Bessoudo Courvoisier, Roser Bru, Feliza Bursztyn,Teresa Cuéllar, Delia Cugat, Beatriz Daza, Geny Dignac, Helen Escobedo, Raquel Forner, Vera Frenkel, Gego, Anna Bella Geiger, Beatriz González, Leonilda González, Susan Hudson, Susy Iglicki, María de la Paz Jaramillo, Ana María Mazzei, Gladys Meneses, Anne Meredith Barry, Margarita Monsalve, María Thereza Negreiros, Louis Nevelson, Luisa Palacios, Gina Pellón, Liliana Porter, Anna Letycia Quadros, Louiser Richterm, Emma Reyes, Margot Romero, Nunik Sauret, Lucy Tejada,Maríana Varela	Varias	1980	2	Febrero				Colectiva		Varias		Miguel González			Miguel González			0023f									
Arte de los 80	Adolfo Bernal, Javier Barrios, Alicia Barney, Antonio I. Caro, Rodrigo Castaño, Fernando Cepeda, Ramiro Gómez, Luis Fernando García, Álvaro Erazo, Eduardo Hernández, Raún Marroquín, Sara Modiano, Geo Riplay, María Rodríguez, Jorge Ortiz, Víctor Sánchez, Argemiro Vélez, Jorge Mario Gómez, Patricia Gómez,Fabio Antonio Ramírez	Adolfo Bernal, Javier Barrios, Alicia Barney, Antonio Caro, Rodrigo Castaño, Fernando Cepeda, Ramiro Gómez, Luis Fernando García, Álvaro Herazo, Eduardo Hernández, Raún Marroquín, Sara Modiano, Geo Riplay, María Rodríguez, Jorge Ortiz, Víctor Sánchez, Argemiro Vélez, Jorge Mario Gómez, Patricia Gómez,Fabio Antonio Ramírez	Colombiana	1980	3	20-mar.				Colectiva		NA		Álvaro Barrios		Secretaría de Educación del Valle del Cauca	Maritza Uribe de Urdinola y Álvaro Barrios			0034c									
Exposición de Francois Dolmetsch 1980	Francois Dolmetsch	Francois Dolmetsch	Británica-colombiana	1980	4	18-abr.				Individual		Fotografía		NA															
Exposición Conjunta Telescopios/	Álvaro Barrios,Juan Camilo Uribe	Álvaro Barrios,Juan Camilo Uribe	Colombiana	1980	5	9-may.				Colectiva		Varias		NA			William Zimmer, John Stringer, Eduardo Serrano y María Cleofe	d29.txt		0035c	d29.pdf	Maritza Uribe de Urdinola	Gloria Delgado	Bolivia Ramos de Balcázar, Guillermo Carvajal, Evelyn de Caicedo, Ely Burckhardt de Echeverry, Henry Eder, Marta Hoyos, Bárbara de Jimenez, Manuel Lago, Federico O'Byrne, Pola Reyburd, Betty Restrepo, Santiago Salcedo, Juan Zaccour	Pedro Alcántara, Maria de la Paz Jaramillo, Maria Thereza Negreiros, Soffy Arboleda, Amparo Urdinola	Elena Mogollón		La nueva imagen de Colombia	3018
Exposición de Pedro Alcántara 1980	Pedro Alcántara	Pedro Alcántara	Colombiana	1980	6	11-jun.			60 días	Retrospectiva-individual		Dibujo,Grabado		NA			Maritza Uribe de Urdinola, Ávlaro Medina, Marta Traba, Beatriz Viggiani y Miguel González			0036c									
Serie Amazónica	Maria Thereza Negreiros	María Thereza Negreiros	Brasileña-colombiana	1980	9	19-sept.			40 días	Individual		Pintura		NA			Maritza Uribe de Urdinola, Marta Traba, Miguel González y Gloria Inés Daza			0037c									
Exposición de María de la Paz Jaramillo y Óscar Jaramillo	María de la Paz Jaramillo,Óscar Jaramillo	María de la Paz Jaramillo,Óscar Jaramillo	Colombiana	1980	11	14-nov.			45 días	Colectiva		Pintura,Dibujo  		NA		Industria de Licores del Valle	Maritza Uribe de Urdinola, Luis Camnitzer y Darío Ruiz Gómez			0038c									
IV Bienal Americana de Artes Gráficas	Jorge Canale, Aída Caraballo, Américo Castilla, Hugo de Marziani, Walter Kohler, Liliana Porter, Lydia Mabel Rubli (Argentina), Rodolfo Abularach, Moisés Barrios, Luis Díaz (Guatemala), Carmen Aldunate, Mario Toral, Carlos Altamirano, Demesio Antúnez, José Balmes, Gracia Barrios, Roser Bru, Eugenio Dittborn, Ernesto Fontesilla, Carlos Gallardo, Felipe Herrera, Carlos Leppe, Raúl Sotelo Sotomayor (Chile), Jim Amaral, David Becker, Ivan Chermayeff, Warrigton Colescott, Steven Cortright, Sheilla de Breteville, Milton Glaser, Juan Gómez Quiroz, John Grillo, Michael Hicks, Robert Kipniss, Karen Lamassone, Mauricio Lasansky, Tomas Lasasnsky, Leonard Lehrer, Rusell K. Leong, Martin Levine, Bruce McCombs, Peter Milton, George Miyasaki, Frances Myers, Jim Nawara, Gabor Peterdi, Rudy Pozzatti, Charles Roth, Edward  Ruscha, Masaaki Sato, Steven Sorman, Sandy Walker, Lance Wyman (EE.UU.),Guillermo Trujillo, Antonio Alvarado, Ricardo Raúl Ceville, Julio Augusto Zachrisson (Panamá), Pedro Alcántara, Claudio Arango, Ever Astudillo, Antonio Barrera, Álvaro Barrios, Javier Iván Barrios, María Elena Bernal, Luis Caballero, Carlos Alberto Caicedo, Manuel Camargo, Juan Cárdenas, Santiago Cárdenas, José Claroz, Heriberto Cogollo, David Consuegra, Federman Contreras, Cecilia Coronel, María Cristina Cortés, Fabio Daza, Carlos Delgado, Hernando del Villar, Dioscórides, Odorico Doglioni, Carlos Duque, María Eugenia Duque, Ana de Durán, María Vctoria Durán, Carlos Echeverry, Billy Escobar, Mercedes Amelia Escobar, Rodrigo Fernández, Umberto Giangrandi, Aníbal Gil, Patricia Gómez, Leonel Góngora, Beatriz González, Mario Gordillo, Antonio Grass, Álvaro Herazo, Enrique Hernández, Beatriz Jaramillo, Lorenzo Jaramillo, Luciano Jaramilli, María de la Paz Jaramillo, Carlos Lersuldy, Ángel Loochkartt, Francisco López, Hernán Lozano, Juan Manuel Lugo, Jorge Enrique Madriñán, Jorge Mantilla Caballero, Álvaro Marín Vieco, Alfonso Mateos, Jaime Mendoza, Uldarico Minotta, Pedro Miranda, Elena Mogollón, Óscar Muños, Luis Paz, Luis Fernando Peláez, Roberto Pizano, Rómulo Polo, Alnfonso Quijano, Francisco Ramírez, Luis Alfonso Ramírez, Saturnino Ramírez, Pedro Ramos, Ómar Rayo, Augusto Rendón, Emma Reyes, Alberto Rincón, Natalia Rivera, Mónica Meira, Francisco Rocca-Lynn, Ofelia Rodríguez, Hernando Rojas, Ana María Rueda, Bernardo Salcedo, Helio Salcedo, Silvia Salgado, Luigi Sandri, Urs Joaquín Schmid, Alberto Sierra, Édgar Silva, Margarita Tamayo, Hernando Tejada, Lucy Tejada, José Urbach, Gloria Uribe, Luis Fernando Valencia, Ramón Vanegas, Mary Anne Vaughan, Alicia Viteri, Gustavo Zalamea, Elsa Zambrano, Hugo Zapata, Nirma Zárate (Colombia), Humberto Aquino, German Braun, Anselmo Carrera, Miguel Ángel Espinoza, Carlos Alberto González, Hernán Pazos, José Tola, Esther Vainstein (Perú), Gesner Armand, Marie Jose Gardere, Jean Rene Jerome, Antonio Joseph, Patrick Vilaire (Haití), Max Aruquipa, Hugo Rojas (Bolivia), Pierre Ayot, Kenneth Caplan, Miljenko Horvat, Michael Leclair, William John Laing, George Raab, Serge Tousignant (Canadá), Myrna Báez, Lorenzo Homar, Antonio Martorell (Puerto Rico), Félix Beltrán, Toa Castellanos, Joaquín Ferrer, Flavio Garciandia, Raúl Milián,Wilfredo Lam, René Portocarrero, Mariano Rodríguez (Cuba), Nadia Benatar, Susy Dembo, Alexis Gorodine, Felipe Herrera, Saúl Huerta, Susy Iglicki, Gladys Meneses, Luis Adrián León, Antonio Lazo, Barry Ian Laughlin, Francisco Quilici, Édgar Sánchez (Venezuela), Luis Camnitzer, Raúl Cattelani, Isabel Easton, Naúl Ojeda, Mario Sagradini, Luis Solari, Lily Salvo (Uruguay), Alberto Castro, Eduardo Cohen, Vita Giorgi, Carlos García Estrada, Manuel Marín, Ismael Martínez Guardado, Aristides Mateos, Germán Montalvo, José Luis Vicent, María Shelley, Nunik Sauret (México), Ivone Couto, Arlindo Daibert Amaral, Liliane Dardot, Paulo Tibirica de Andrade, Leon Ferrari, Jair Glass, Carmela Gross, Odetto Guersoni, Marlene Hori, Carlos Evandro Jardim, Wilma Martins Morales, Massau Nakakubo, Ricardo Ohtake, Gerty Sarue, Mira Schendel, Regina Silveira, José Braz, Uzuelle de Morais (Brasil), Washigton Eduardo Iza, Ramiro Jácome, Nelson Román, Nicolás Svistoonoff (Ecuador), Bernardo Krasnianski (Paraguay),Michel Vandame Blond (Francia)	Jorge Canale, Aída Caraballo, Américo Castilla, Hugo de Marziani, Walter Kohler, Liliana Porter, Lydia Mabel Rubli , Rodolfo Abularach, Moisés Barrios, Luis Díaz , Carmen Aldunate, Mario Toral, Carlos Altamirano, Demesio Antúnez, José Balmes, Gracia Barrios, Roser Bru, Eugenio Dittborn, Ernesto Fontesilla, Carlos Gallardo, Felipe Herrera, Carlos Leppe, Raúl Sotelo Sotomayor , Jim Amaral, David Becker, Ivan Chermayeff, Warrington Colescott, Steven Cortright, Sheilla de Breteville, Milton Glaser, Juan Gómez Quiroz, John Grillo, Michael Hicks, Robert Kipniss, Karen Lamassonne, Mauricio Lasansky, Tomas Lasasnsky, Leonard Lehrer, Rusell K. Leong, Martin Levine, Bruce McCombs, Peter Milton, George Miyasaki, Frances Myers, Jim Nawara, Gabor Peterdi, Rudy Pozzatti, Charles Roth, Edward  Ruscha, Masaaki Sato, Steven Sorman, Sandy Walker, Lance Wyman ,Guillermo Trujillo, Antonio Alvarado, Ricardo Raúl Ceville, Julio Augusto Zachrisson , Pedro Alcántara, Claudio Arango, Ever Astudillo, Antonio Barrera, Álvaro Barrios, Javier Iván Barrios, María Elena Bernal, Luis Caballero, Carlos Alberto Caicedo, Manuel Camargo, Juan Cárdenas, Santiago Cárdenas, José Claroz, Heriberto Cogollo, David Consuegra, Federman Contreras, Cecilia Coronel, María Cristina Cortés, Fabio Daza, Carlos Delgado, Hernándo del Villar, Dioscórides, Odorico Doglioni, Carlos Duque, María Eugenia Duque, Ana de Durán, María Victoria Durán, Carlos Echeverry, Billy Escobar, Mercedes Amelia Escobar, Rodrigo Fernández, Umberto Giangrandi, Aníbal Gil, Patricia Gómez, Leonel Góngora, Beatriz González, Mario Gordillo, Antonio Grass, Álvaro Herazo, Enrique Hernández, Beatriz Jaramillo, Lorenzo Jaramillo, Luciano Jaramillo, María de la Paz Jaramillo, Carlos Lersundy García, Ángel Loochkartt, Francisco López, Hernán Lozano, Juan Manuel Lugo, Jorge Enrique Madriñán, Jorge Mantilla Caballero, Álvaro Marín Vieco, Alfonso Mateus Ortega, Jaime Mendoza, Uldarico Minotta, Pedro Miranda, Elena Mogollón, Óscar Muñoz, Luis Paz, Luis Fernando Peláez, Roberto Pizano, Rómulo Polo Flórez, Alnfonso Quijano, Francisco Ramírez, Luis Alfonso Ramírez, Saturnino Ramírez, Pedro Ramos, Ómar Rayo, Augusto Rendón, Emma Reyes, Alberto Rincón, Natalia Rivera, Mónica Meira, Francisco Rocca-Lynn, Ofelia Rodríguez, Hernándo Rojas, Ana María Rueda, Bernardo Salcedo, Helio Salcedo, Silvia Salgado, Luigi Sandri, Urs Joaquín Schmid, Alberto Sierra Maya, Édgar Silva, Margarita Tamayo, Hernándo Tejada, Lucy Tejada, José Urbach, Gloria Uribe, Luis Fernando Valencia, Ramón Vanegas, Mary Anne Vaughan, Alicia Viteri, Gustavo Zalamea, Elsa Zambrano, Hugo Zapata, Nirma Zárate , Humberto Aquino, German Braun, Anselmo Carrera Rojas, Miguel Ángel Espinoza, Carlos Alberto González, Hernán Pazos, José Tola, Esther Vainstein , Gesner Armand, Marie Jose Gardere, Jean Rene Jerome, Antonio Joseph, Patrick Vilaire , Max Aruquipa, Hugo Rojas , Pierre Ayot, Kenneth Caplan, Miljenko Horvat, Michael Leclair, William John Laing, George Raab, Serge Tousignant , Myrna Báez, Lorenzo Homar, Antonio Martorell, Félix Beltrán, Toa Castellanos, Joaquín Ferrer, Flavio Garciandía, Raúl Milián,Wifredo Lam, René Portocarrero, Maríano Rodríguez , Nadia Benatar, Susy Dembo, Alexis Gorodine, Felipe Herrera, Saúl Huerta, Susy Iglicki, Gladys Meneses, Luis Adrián León, Antonio Lazo, Barry Ian Laughlin, Francisco Quilici, Édgar Sánchez , Luis Camnitzer, Raúl Cattelani, Isabel Easton, Naúl Ojeda, Mario Sagradini, Luis Solari, Lily Salvo , Alberto Castro Leñero, Eduardo Cohen, Vita Giorgi, Carlos García Estrada, Manuel Marín, Ismael Martínez Guardado, Aristides Mateos, Germán Montalvo, José Luis Vicent, María Shelley, Nunik Sauret, Ivone Couto, Arlindo Daibert Amaral, Liliane Dardot, Paulo Tibirica de Andrade, León Ferrari, Jair Glass, Carmela Gross, Odetto Guersoni, Marlene Hori, Carlos Evandro Jardim, Wilma Martins Morales, Massau Nakakubo, Ricardo Ohtake, Gerty Sarue, Mira Schendel, Regina Silveira, José Braz, Uzuelle de Morais , Washigton Eduardo Iza, Ramiro Jácome, Nelson Román, Nicolás Svistoonoff , Bernardo Krasnianski,Michel Vandame Blond 	Varias	1981	5	10-may.				Colectiva		Arte Gráfico		NA			Maritza Uribe de Urdinola		Todas las salas	0004b									
